Zipcode,County and Neighborhood,Total Area Sq.Miles    ,Total Area Sq.Yard,Pop.Density per Sq Mile,Pop.Density per Sq Yard,Total Population 2010,Pop. Age 65 and Up,Pop. Under 18,Households,Families,Non-Hispanic Whites,Non-Hispanic Blacks,Non-Hispanic Asians,Hispanics,% Non-Hisp. Whites,% Non-Hisp. Blacks,% Non-Hisp.Asians,% Hispanics,% Two or More Races,Median Age: Blacks,Median Age: Asians,Median Age: Hispanics,Med.Age: Non-Hisp.Whites,% of Pop. From India,% from Bangladesh,% Chinese,% Filipinos,% Koreans,% from Pakistan,% from Vietnam,% Mexicans in Pop,% Puerto Ricans in Pop,% Cubans in Pop,% Dominicans in Pop,% from Guatemala,% from Honduras,% from Colombia,% from Ecuador,% Peruvians in Pop,Age 65 and Up: % Live Alone,Age 65 and Up: % Live in Fams,Age 65 and Up: % in Gp.Quarters,% Kids Live w/Ma+Pa,% Kids Live w/Ma Only,% Kids Live w/Grandparents,% Kids Live in Group Quarters,Housing Units,% Rental Units,Location 1
10452,Bronx High Bridge,0.98,3035648,76909.1837,0.0248,75371,5237,22527,24796,17554,1001,20945,952,51328,1.3,27.8,1.3,68.1,6.3,32.1,33.8,29,33.2,0.7,0.3,0.2,0.1,0,0,0,7,17.3,0.5,32.9,0.2,1.5,0.3,1.9,0.2,30.3,64.6,0.1,32.3,41.5,10.8,1.6,25866,92.8,"(40.83724, -73.9211399997)"
10453,Bronx Morris Hts,0.92,2849792,85118.4783,0.0275,78309,5056,23464,25307,18179,1020,23685,917,51621,1.3,30.2,1.2,65.9,6.2,31.6,31.1,28.3,34.5,0.5,0.4,0.2,0.1,0,0,0.1,3.9,17.2,0.5,34.7,0.2,1.1,0.2,1.4,0.1,27.5,67.1,0.4,27.3,46.3,11.8,1.6,27018,89.4,"(40.8522899998, -73.9109799997)"
10454,Bronx Mott Haven,1.04,3221504,35900.9615,0.0116,37337,3378,11397,11978,8321,692,8629,165,27442,1.9,23.1,0.4,73.5,6,27,31.1,29.3,32.3,0.1,0,0.2,0.1,0,0,0,13.7,34.6,0.5,13.3,0.8,2.8,0.3,2.5,0.2,36.6,57.3,1.2,26.1,45.6,13.4,2.8,12772,88.7,"(40.8075800001, -73.9184800003)"
10455,Bronx Hub,0.71,2199296,55866.1972,0.018,39665,3478,11880,12880,9076,555,8855,199,29676,1.4,22.3,0.5,74.8,6.3,28.6,34,29.9,29.7,0.2,0,0.2,0.1,0,0,0,9.6,32.8,0.5,17.3,1,3.5,0.5,3.4,0.3,34.5,61.2,0.7,27.3,45.5,12.1,2.9,13851,86.1,"(40.8151399998, -73.9078500002)"
10456,Bronx Morrisania,1.02,3159552,84850,0.0274,86547,6713,26930,28122,19901,1133,34735,782,48641,1.3,40.1,0.9,56.2,5.8,30.6,32,28.2,45.3,0.4,0.3,0.1,0.1,0,0,0,3.4,21,0.5,21.2,0.4,2.6,0.2,1.5,0.1,30.4,56.5,9.4,29.7,46.6,11.1,1.1,29651,89.1,"(40.8308399999, -73.9097899997)"
10457,Bronx Tremont,1.06,3283456,66505.6604,0.0215,70496,5304,21943,22873,15938,1138,21185,1059,45940,1.6,30.1,1.5,65.2,6.1,30,36.6,28.3,35.1,0.9,0.1,0.1,0.2,0,0.1,0,4.8,23.1,0.6,26.5,0.4,1.7,0.2,1.7,0.2,33.6,57.4,4.4,27.9,46.7,9.7,3.6,24364,87.3,"(40.8476400003, -73.89989)"
10458,Bronx Fordham,1.01,3128576,78704.9505,0.0254,79492,5213,22550,26201,17420,8350,15770,3065,50680,10.5,19.8,3.9,63.8,5.9,29.5,33.9,27.7,25.7,1,0.4,0.4,0.5,0.7,0.2,0.3,10.9,21.2,0.6,21.9,0.3,1.4,0.4,1.6,0.4,33,61.6,1.2,33.2,43.7,9.3,0.4,27806,89.9,"(40.8630699996, -73.8891599998)"
10459,Bronx Boulevd-Longwood,0.82,2540032,57692.6829,0.0186,47308,3957,14616,15398,10905,538,12747,343,33075,1.1,26.9,0.7,69.9,6.8,28,33.5,29.4,32,0.3,0.1,0.2,0,0,0,0.1,5.8,31.4,0.7,19.3,1,2.7,0.3,2.7,0.3,32.7,58.6,4.4,27.6,47.4,10.6,2.6,16496,83.3,"(40.8251799997, -73.8941699997)"
10460,Bronx West Farms,1.32,4088832,43417.4242,0.014,57311,4897,17545,19512,13519,1434,15684,751,38520,2.5,27.4,1.3,67.2,5.7,29.4,35.7,29,42.6,0.6,0.2,0.2,0.1,0,0.1,0,4.4,31.3,0.7,20.4,0.6,2.1,0.3,1.7,0.2,34.5,61.9,0.2,27.3,48.5,10.5,2.5,20706,84.7,"(40.8404800002, -73.8802600004)"
10461,Bronx Westchester,2.4,7434240,21042.5,0.0068,50502,7581,10298,19772,12100,21602,3150,5253,19384,42.8,6.2,10.4,38.4,3.8,33.7,32.6,31.4,48.5,2.4,1.7,2.2,1.5,0.6,0.5,0.7,2.6,22.3,0.7,6.4,0.2,0.5,0.4,1.7,0.4,32.6,58,7.2,56.8,25.9,6.6,0.7,21127,64.9,"(40.8457799999, -73.8401899998)"
