Population Density(sq mi)▼,Zip , Population
"146,955.30",10028 ,"46,169"
"132,677.40",10128 ,"62,447"
"132,095.70",10075 ,"24,377"
"129,548.90",10025 ,"97,373"
"123,875.90",10023 ,"60,762"
"120,133.30",10040 ,"45,278"
"115,461.70",10026 ,"38,372"
"110,137.50",10162 ,"1,252"
"108,864.60",10021 ,"42,142"
"105,863.10",10030 ,"29,530"
"102,965.20",10005 ,"7,570"
"100,237.00",10009 ,"61,806"
"100,108.60",10033 ,"60,520"
"98,998.80",10003 ,"57,068"
"94,363.10",10029 ,"77,857"
"94,164.60",10016 ,"50,112"
"90,849.30",10002 ,"79,894"
"90,523.60",10031 ,"58,912"
"90,074.70",10456 ,"91,737"
"89,842.80",10032 ,"59,069"
"86,656.00",11109 ,"4,337"
"85,787.30",10453 ,"79,002"
"85,703.20",11372 ,"63,202"
"82,215.90",10065 ,"31,761"
"80,408.90",10011 ,"52,941"
"78,604.40",10010 ,"30,708"
"76,855.10",10012 ,"24,846"
"76,427.70",10452 ,"75,252"
"76,237.10",11226 ,"98,299"
"75,597.10",10458 ,"76,276"
"72,357.30",10027 ,"63,057"
"70,556.60",10038 ,"20,997"
"69,066.60",10024 ,"59,249"
"68,340.70",10037 ,"18,041"
"68,090.00",11104 ,"26,555"
"68,058.90",10022 ,"29,699"
"67,476.60",10282 ,"5,903"
"67,444.40",11225 ,"59,613"
"66,913.80",10457 ,"71,015"
"66,609.40",11219 ,"98,719"
"66,519.90",10468 ,"72,683"
"66,309.00",10472 ,"69,659"
"65,936.50",11373 ,"100,713"
"63,671.90",10280 ,"8,817"
"60,559.10",11221 ,"83,773"
"59,083.40",10459 ,"48,269"
"58,197.90",11216 ,"54,440"
"57,987.20",11206 ,"83,180"
"57,520.90",11213 ,"62,756"
"57,057.90",11212 ,"87,751"
"56,986.10",10019 ,"38,752"
"56,785.40",11220 ,"101,715"
"56,097.40",10455 ,"39,951"
"56,042.60",10039 ,"25,952"
"55,901.70",10014 ,"31,835"
"55,400.80",11237 ,"55,258"
"54,427.50",10036 ,"24,127"
"53,801.60",11103 ,"38,257"
"53,018.60",10069 ,"5,523"
"52,602.70",11218 ,"75,132"
"51,663.60",11233 ,"69,637"
"51,271.50",10462 ,"76,114"
"51,150.50",11217 ,"38,567"
"50,847.00",10017 ,"16,278"
"50,567.50",11204 ,"80,349"
"49,860.20",10044 ,"12,050"
"48,772.70",10013 ,"26,937"
"48,298.20",11355 ,"83,799"
"47,323.00",11230 ,"87,064"
"47,063.60",10451 ,"47,818"
"46,994.10",11238 ,"51,959"
"45,618.80",11205 ,"43,320"
"45,091.80",10463 ,"71,238"
"44,728.90",11374 ,"41,792"
"44,604.30",10460 ,"58,676"
"44,344.00",11106 ,"38,633"
"43,215.00",11102 ,"35,027"
"42,831.50",11419 ,"48,370"
"42,589.30",10467 ,"99,251"
"41,367.10",11368 ,"110,385"
"41,282.40",10007 ,"6,748"
"40,852.40",11210 ,"67,042"
"40,359.90",11214 ,"88,297"
"39,908.00",11211 ,"94,681"
"39,701.20",13024 ,"1,649"
"39,596.10",11201 ,"56,488"
"39,018.00",11416 ,"25,973"
"37,885.90",10034 ,"42,672"
"37,337.70",11369 ,"39,862"
"37,176.20",10454 ,"38,751"
"36,953.70",11223 ,"76,651"
"36,715.20",11229 ,"81,351"
"36,638.70",10001 ,"22,767"
"35,998.70",11435 ,"54,523"
"35,892.50",11203 ,"77,011"
"35,171.00",11375 ,"69,652"
"34,994.60",11207 ,"93,465"
"34,924.50",11377 ,"88,939"
"34,477.30",10466 ,"69,657"
"33,569.80",11209 ,"72,582"
"33,477.10",11415 ,"19,020"
"33,185.40",11421 ,"42,745"
"32,301.30",11549 ,"2,337"
"32,132.00",10006 ,"2,950"
"31,902.90",11215 ,"70,156"
"31,333.90",11228 ,"46,059"
"31,000.30",11235 ,"75,622"
"29,168.00",10469 ,"72,241"
"29,032.70",11432 ,"62,395"
"28,199.30",11417 ,"31,556"
"27,472.60",11385 ,"100,132"
"27,434.50",10473 ,"59,948"
"27,032.20",11224 ,"42,698"
"26,919.90",11236 ,"97,714"
"26,694.60",11208 ,"92,262"
"25,657.80",11354 ,"56,433"
"25,497.30",11370 ,"36,271"
"25,054.80",10018 ,"8,062"
"24,895.70",10035 ,"34,760"
"24,574.30",11428 ,"20,461"
"24,496.20",10475 ,"44,582"
"24,438.20",11433 ,"37,927"
"24,139.50",11420 ,"50,162"
"23,800.00",11231 ,"34,605"
"23,620.50",11436 ,"18,609"
"22,943.80",11232 ,"29,452"
"22,891.50",11412 ,"37,690"
"22,718.10",11423 ,"32,053"
"22,559.50",11105 ,"36,816"
"22,504.50",11418 ,"36,751"
"22,228.30",11239 ,"12,943"
"21,850.80",10461 ,"52,435"
"21,824.80",11691 ,"62,577"
"21,534.90",11222 ,"34,580"
"21,141.00",11429 ,"27,506"
"19,743.00",11434 ,"65,255"
"19,305.30",11358 ,"37,634"
"18,716.30",10550 ,"37,421"
"18,198.30",10601 ,"11,524"
"17,807.30",10705 ,"39,817"
"17,550.60",14627 ,"2,703"
"17,220.90",11379 ,"35,725"
"17,155.70",11365 ,"43,138"
"17,077.70",11361 ,"30,352"
"16,821.40",11692 ,"17,970"
"16,406.00",11411 ,"19,177"
"16,209.80",11367 ,"41,582"
"15,915.90",11422 ,"32,589"
"15,742.20",11694 ,"21,507"
"15,145.90",11356 ,"23,800"
"15,106.60",10302 ,"18,043"
"15,069.70",10308 ,"29,805"
"14,883.00",11427 ,"23,460"
"14,782.40",11004 ,"14,045"
"14,510.90",10553 ,"10,032"
"14,486.20",11357 ,"40,588"
"14,342.20",11426 ,"19,348"
"14,153.30",11364 ,"34,902"
"14,115.90",10701 ,"59,628"
"13,974.80",11360 ,"19,916"
"13,767.70",10310 ,"24,719"
"13,517.10",10465 ,"46,360"
"13,416.80",11550 ,"57,224"
"13,307.10",11413 ,"41,689"
"12,240.30",10552 ,"20,339"
"12,105.70",11001 ,"27,156"
"12,045.10",11414 ,"28,742"
"12,022.90",10801 ,"41,265"
"12,011.80",11794 ,"3,317"
"12,009.80",11366 ,"13,146"
"11,859.20",10703 ,"20,894"
"11,823.20",14201 ,"12,872"
"11,820.80",11378 ,"30,854"
"11,635.10",11005 ,"2,123"
"11,571.80",10503 ,172
"11,511.20",14853 ,"2,883"
"11,447.60",10606 ,"17,293"
"11,415.90",11234 ,"95,610"
"11,370.40",11693 ,"11,338"
"11,305.50",14222 ,"14,519"
"11,108.00",10704 ,"31,198"
"10,890.20",12222 ,"5,966"
"10,819.60",10805 ,"18,898"
"10,783.50",10304 ,"41,864"
"10,740.70",10301 ,"39,367"
"10,732.70",11003 ,"44,907"
"10,586.90",11580 ,"41,525"
"10,548.50",11010 ,"25,054"
"10,433.30",10470 ,"14,880"
"10,426.80",14619 ,"15,237"
"10,138.90",12210 ,"9,147"
"9,880.30",14213 ,"23,468"
"9,698.00",10305 ,"41,471"
"9,694.60",12307 ,"6,951"
"9,670.30",13203 ,"16,437"
"9,598.30",14607 ,"16,159"
"9,589.20",11563 ,"22,984"
"9,406.90",14209 ,"8,597"
"9,347.40",11501 ,"19,155"
"9,310.60",11575 ,"16,674"
"9,268.20",11101 ,"25,317"
"8,807.10",11561 ,"37,599"
"8,778.80",11363 ,"7,625"
"8,667.70",13902 ,"6,172"
"8,601.30",11516 ,"7,513"
"8,479.30",11040 ,"40,799"
"8,459.80",10471 ,"21,935"
"8,169.20",14621 ,"34,576"
"8,104.30",10707 ,"10,525"
"8,086.20",14215 ,"39,786"
"7,987.60",11596 ,"10,638"
"7,972.40",10474 ,"12,223"
"7,913.00",11520 ,"43,632"
"7,910.30",14208 ,"10,918"
"7,901.10",11565 ,"8,820"
"7,872.40",14216 ,"22,203"
"7,812.70",10312 ,"61,105"
"7,754.20",14301 ,"12,965"
"7,735.10",11726 ,"21,102"
"7,691.50",10303 ,"24,348"
"7,632.30",11756 ,"42,321"
"7,621.60",10307 ,"15,006"
"7,552.50",11553 ,"26,506"
"7,504.40",14605 ,"13,737"
"7,413.30",11570 ,"27,896"
"7,398.20",12206 ,"15,757"
"7,348.70",11762 ,"23,053"
"7,337.10",11021 ,"17,478"
"7,305.40",10708 ,"22,497"
"7,287.30",10306 ,"54,888"
"7,209.60",11581 ,"20,956"
"7,133.40",14217 ,"22,911"
"6,994.50",11362 ,"17,897"
"6,954.60",11510 ,"33,430"
"6,929.10",10573 ,"38,656"
"6,910.60",14214 ,"19,743"
"6,861.30",11590 ,"45,972"
"6,762.00",11518 ,"10,065"
"6,755.80",14608 ,"12,377"
"6,695.10",12604 ,660
"6,690.40",11507 ,"7,224"
"6,672.10",14223 ,"22,901"
"6,568.30",12308 ,"15,187"
"6,556.50",14613 ,"12,212"
"6,448.40",10709 ,"9,347"
"6,363.10",11710 ,"35,151"
"6,349.80",14220 ,"24,525"
"6,320.40",11757 ,"44,923"
"6,234.40",11552 ,"22,949"
"6,108.10",11598 ,"12,927"
"6,107.40",13210 ,"27,905"
"6,095.50",10314 ,"87,524"
"6,093.90",14611 ,"17,773"
"5,985.90",11801 ,"39,805"
"5,980.90",11554 ,"37,513"
"5,935.60",14207 ,"23,285"
"5,916.80",11783 ,"21,170"
"5,883.70",10927 ,"12,060"
"5,793.90",11514 ,"5,197"
"5,759.30",13202 ,"5,745"
"5,754.40",14212 ,"10,974"
"5,701.40",10803 ,"12,523"
"5,657.80",10710 ,"27,388"
"5,616.70",14620 ,"25,689"
"5,591.70",10119 ,92
"5,584.00",11023 ,"9,955"
"5,524.40",12209 ,"11,844"
"5,513.40",11572 ,"28,901"
"5,465.60",14609 ,"44,103"
"5,456.00",10977 ,"60,650"
"5,446.40",13205 ,"18,788"
"5,443.80",10603 ,"17,924"
"5,441.60",11717 ,"59,449"
"5,402.40",10004 ,"3,024"
"5,391.30",11714 ,"23,313"
"5,388.10",13208 ,"22,490"
"5,274.40",11566 ,"33,791"
"5,183.90",10566 ,"23,875"
"5,169.80",11701 ,"27,423"
"5,160.20",14211 ,"20,885"
"5,138.10",11703 ,"16,249"
"5,099.10",11722 ,"37,181"
"5,097.20",12208 ,"21,417"
"4,957.90",14204 ,"8,905"
"4,937.60",10309 ,"33,382"
"4,922.90",11704 ,"40,685"
"4,819.20",14616 ,"28,638"
"4,811.80",11758 ,"55,900"
"4,810.70",11784 ,"26,312"
"4,753.20",11579 ,"5,336"
"4,743.90",10543 ,"20,250"
"4,739.60",14261 ,"5,680"
"4,689.50",11803 ,"28,445"
"4,650.60",11096 ,"7,884"
"4,609.40",10538 ,"16,803"
"4,547.50",10952 ,"41,619"
"4,527.30",10522 ,"11,001"
"4,495.60",13204 ,"19,984"
"4,465.40",14206 ,"21,670"
"4,372.00",11729 ,"27,409"
"4,367.10",13501 ,"38,464"
"4,347.60",10923 ,"8,705"
"4,307.90",14604 ,"1,651"
"4,282.60",10993 ,"5,069"
"4,280.60",11558 ,"8,646"
"4,256.30",13207 ,"13,352"
"4,197.60",11577 ,"12,788"
"4,172.40",11795 ,"25,536"
"4,139.50",14210 ,"13,787"
"4,134.20",14226 ,"28,593"
"4,129.40",14445 ,"7,892"
"4,095.20",14802 ,"4,260"
"4,068.60",14614 ,"1,136"
"4,051.40",13206 ,"15,997"
"4,010.30",11542 ,"27,691"
"3,991.90",12202 ,"9,066"
"3,976.90",11950 ,"16,969"
"3,951.20",11530 ,"28,155"
"3,931.00",10968 ,"2,301"
"3,828.50",11741 ,"28,651"
"3,804.00",11755 ,"12,329"
"3,728.20",10960 ,"15,637"
"3,721.50",11776 ,"25,675"
"3,650.50",11767 ,"15,259"
"3,605.90",11706 ,"65,865"
"3,603.40",11720 ,"29,374"
"3,565.90",12801 ,"14,574"
"3,471.60",10605 ,"17,671"
"3,457.70",11731 ,"28,969"
"3,438.90",10954 ,"23,678"
"3,402.00",11557 ,"7,364"
"3,348.60",11793 ,"32,710"
"3,340.60",14778 ,"1,388"
"3,335.10",11709 ,"6,724"
"3,332.30",10804 ,"14,850"
"3,322.90",10528 ,"12,720"
"3,308.30",11738 ,"17,643"
"3,295.50",11727 ,"29,987"
"3,293.30",12304 ,"22,537"
"3,289.80",11569 ,"1,284"
"3,240.50",10530 ,"12,431"
"3,220.70",11718 ,"3,117"
"3,220.20",11798 ,"15,362"
"3,186.20",10583 ,"39,510"
"3,177.10",11751 ,"14,679"
"3,172.90",12929 ,"3,778"
"3,116.30",14610 ,"13,679"
"3,109.70",12305 ,"4,923"
"3,102.30",11735 ,"32,499"
